Defect ID,Template Name,WCAG Standard,Defect Type,Element Description,Code Fix / Developer Remediation Guidance,Verification Status
GW-A11Y-01,1. Homepage,1.4.3 Contrast (Min),color-contrast,Footer promo and link text contrast ratio is below 4.5:1.,Update CSS color to a darker hex code (e.g. change gray text to #555555 or brand color to #e0533c).,VERIFIED FIXED
GW-A11Y-02,1. Homepage,2.4.4 Link Purpose,link-name,Social icon links (Instagram / Facebook) in the footer lack discernible text.,Add a descriptive aria-label to the anchor tag (e.g. aria-label="Follow us on Instagram").,VERIFIED FIXED
GW-A11Y-03,1. Homepage,4.1.2 Name Role Value,aria-command-name,My Account header login popup toggle button (.od-auth-popup__toggle) lacks discernible text on page load due to dynamic i18n bindings.,Add static aria-label="My Account" to the button tag to ensure accessibility name is present before JS binds.,VERIFIED FIXED
GW-A11Y-04,1. Homepage,1.4.4 Resize Text,meta-viewport,Mobile scaling is disabled in meta tag (user-scalable=no).,Modify viewport meta tag in page header to remove user-scalable restriction.,VERIFIED FIXED
GW-A11Y-05,1. Homepage,2.5.8 Target Size,target-size,Quantity selectors and close buttons are smaller than 24x24px.,Increase padding or width/height of the clickable button elements to minimum 24px.,VERIFIED FIXED
GW-A11Y-06,2. PLP (Furniture),1.4.3 Contrast (Min),color-contrast,Filter text labels contrast ratio is below 4.5:1.,Update CSS filter item text colors to meet minimum contrast ratio.,VERIFIED FIXED
GW-A11Y-07,2. PLP (Furniture),2.4.4 Link Purpose,link-name,Pagination arrow links lack discernible text for screen readers.,Add aria-label="Next Page" or "Previous Page" to pagination anchors.,VERIFIED FIXED
GW-A11Y-08,2. PLP (Furniture),4.1.2 Name Role Value,aria-command-name,Swatch filter toggle selectors missing aria-labels.,Apply aria-label containing the color name dynamically (e.g. aria-label="Color Black").,VERIFIED FIXED
GW-A11Y-09,2. PLP (Furniture),1.4.4 Resize Text,meta-viewport,Mobile scaling is disabled in meta tag (user-scalable=no).,Modify viewport meta tag in page header to remove user-scalable restriction.,VERIFIED FIXED
GW-A11Y-10,2. PLP (Furniture),2.5.8 Target Size,target-size,Filter checkbox click targets are smaller than 24x24px.,Expand clickable area for checkboxes using CSS padding/offsets.,VERIFIED FIXED
GW-A11Y-11,3. PDP (Product Detail),1.4.3 Contrast (Min),color-contrast,Availability/Stock text labels contrast ratio is below 4.5:1.,Darken stock status labels (e.g. change light green/gray text color).,VERIFIED FIXED
GW-A11Y-12,3. PDP (Product Detail),2.4.4 Link Purpose,link-name,Thumbnail gallery navigation links lack discernible text.,Add aria-label (e.g. aria-label="View product image 2") to gallery selectors.,VERIFIED FIXED
GW-A11Y-13,3. PDP (Product Detail),4.1.2 Name Role Value,aria-command-name,Color swatches lack accessible labels.,Inject aria-label detailing color and selected state dynamically.,VERIFIED FIXED
GW-A11Y-14,3. PDP (Product Detail),1.4.4 Resize Text,meta-viewport,Mobile scaling is disabled in meta tag (user-scalable=no).,Modify viewport meta tag in page header to remove user-scalable restriction.,VERIFIED FIXED
GW-A11Y-15,3. PDP (Product Detail),2.5.8 Target Size,target-size,Carousel next/prev arrows tap target is below 24x24px.,Increase click/tap margins on slide navigation controls to 24px minimum.,VERIFIED FIXED
GW-A11Y-16,4. Shopping Cart,1.4.3 Contrast (Min),color-contrast,Order summary text labels contrast ratio is below 4.5:1.,Darken gray labels in the price calculation sidebar.,VERIFIED FIXED
GW-A11Y-17,4. Shopping Cart,4.1.2 Name Role Value,aria-command-name,Cart update and remove buttons lack clear aria-labels.,Add descriptive labels (e.g. aria-label="Remove item Celine Dining Chair").,VERIFIED FIXED
GW-A11Y-18,4. Shopping Cart,1.4.4 Resize Text,meta-viewport,Mobile scaling is disabled in meta tag (user-scalable=no).,Modify viewport meta tag in page header to remove user-scalable restriction.,VERIFIED FIXED
GW-A11Y-19,4. Shopping Cart,2.5.8 Target Size,target-size,Cart drawer close button tap target is below 24x24px.,Increase tap dimensions of the drawer close button to 24px.,VERIFIED FIXED
GW-A11Y-20,5. Checkout Shipping,1.4.3 Contrast (Min),color-contrast,Checkout shipping address labels contrast ratio is below 4.5:1.,Darken form input labels text color.,VERIFIED FIXED
GW-A11Y-21,5. Checkout Shipping,2.4.4 Link Purpose,link-name,Need Assistance link lacks discernible text.,Add static descriptive text or aria-label.,VERIFIED FIXED
GW-A11Y-22,6. Checkout Payment,1.4.3 Contrast (Min),color-contrast,Payment selection labels contrast ratio is below 4.5:1.,Darken text colors in billing address summary.,VERIFIED FIXED
GW-A11Y-23,6. Checkout Payment,4.1.2 Name Role Value,button-name,Place Order button lacks clear text.,Verify button text or aria-label is present.,VERIFIED FIXED
GW-A11Y-24,2. PLP (Furniture),2.4.4 Link Purpose,button-name,Wishlist icon buttons on product grid cards lack accessible text labels.,Add an aria-label containing the product name to the wishlist button element.,PENDING REMEDIATION
GW-A11Y-25,2. PLP (Furniture),4.1.2 Name Role Value,nested-interactive,Sort By selection wrapper element nests interactive select inputs inside a button-role container.,Remove button role from the select2 container or restructure to prevent nested controls.,PENDING REMEDIATION
GW-A11Y-26,1. Homepage,2.4.3 Focus Order,keyboard-navigation,Collapsed header navigation dropdown sub-links remain focusable in the DOM.,Apply display: none or visibility: hidden to collapsed submenu containers when closed.,VERIFIED FIXED
GW-A11Y-27,3. PDP (Product Detail),1.3.1 Info and Relationships,aria-allowed-children,The tablist container nests tabpanel elements directly inside it.,Move tabpanel elements outside or adjacent to the role=tablist container.,PENDING REMEDIATION
